,k_opt,n_opt,m_opt,m6_opt,error_opt,k_real,n_real,m_real,m6_real,error
2559,50.022519481553225,0.0806041596598566,-0.779258980548275,-0.9433009192221349,0.022052371507862798,80.0,0.1,0.2,-1.2,0.42363153477948334
2560,50.02196665097281,0.07640974518815126,-0.7603499686181295,-1.4940264825698033,0.03437732547898305,80.0,0.1,0.2,-2.0,0.7333219003585462
2561,50.02673905526358,0.04718898239311027,-0.9250455814692665,-0.28298122281740523,0.030271985601594782,80.0,0.05,0.05,-0.3,0.854792948249244
2562,49.385176467123806,0.004550447188208544,-4.07933120546103,-0.05237750934249846,0.037226366047279365,80.0,0.05,0.05,-0.6,0.7388435013665995
2563,50.05201395379234,0.01857922998618263,-2.088368316592394,-0.4179916512043052,0.1663586157637433,80.0,0.05,0.05,-1.2,6.499587123072045
2564,50.032560645289855,0.03870555556380625,-1.1317474860945962,-1.4925086664011795,0.6504038544354658,80.0,0.05,0.05,-2.0,17.452447237452315
2565,50.02536026178545,0.044334274900621674,-0.8771687290052778,-0.2652079833135238,0.018624448100809765,80.0,0.05,0.09,-0.3,0.6261589323166651
2566,49.213155170233826,0.0051981769626925755,-3.8065603415135114,-0.05857569968833892,0.02403899657734247,80.0,0.05,0.09,-0.6,0.6661428626784165
2567,50.046632759771335,0.017383803627091934,-2.0298505062518006,-0.3874871700796349,0.024225925663821108,80.0,0.05,0.09,-1.2,2.0025064949074496
2568,50.03009917486998,0.04378350699910288,-1.0538826951278335,-1.5435152643423673,0.16633246408627683,80.0,0.05,0.09,-2.0,9.403630327301915
2569,50.02823156870252,0.04891183295238175,-0.9766413070838806,-0.3160209858060977,0.07097421116545109,80.0,0.05,0.001,-0.3,0.6432139220087059
2570,49.67202967641213,0.004458394797678844,-4.240516692933685,-0.05445683212830768,0.09989280912244819,80.0,0.05,0.001,-0.6,2.7025251449525496
2571,50.04729101769559,0.02510468992976345,-1.8670343617407266,-0.5826446633320121,1.1621072725229156,80.0,0.05,0.001,-1.2,20.491443765892623
2572,50.02564033684319,0.09148101194199668,-0.8951340079830432,-3.2259741849195565,1.6462238876790791,80.0,0.05,0.001,-2.0,34.093000499359654
2573,50.023087183142714,0.04545753664644831,-0.7981834781136243,-0.5096333807650993,0.006943244219034629,80.0,0.05,0.2,-0.6,0.801967149763657
2574,50.02247274408032,0.040899437451019094,-0.7774090599719548,-0.9553604058391899,0.009251437922305681,80.0,0.05,0.2,-1.2,0.4329991125962479
2575,50.024895250286235,0.03357144482400169,-0.8853618668701498,-1.3267891812733446,0.03312458493600753,80.0,0.05,0.2,-2.0,1.233581672313594
2576,50.02070467956,0.3804089746895747,-0.7272022594538067,-0.22811857794987964,0.05170424703372404,90.0,0.4,0.05,-0.3,1.4376378989983831
2577,50.020057786664196,0.33396358085233685,-0.7260578737746155,-0.46045172396665707,0.05665282212712899,90.0,0.4,0.05,-0.6,1.343437820230752
2578,50.02171764152358,0.354066731083315,-0.7710894489590548,-1.1205419931558906,0.029653168341707396,90.0,0.4,0.05,-1.2,1.1072344603468107
2579,50.0224544855471,0.317159896822211,-0.8113832457498275,-1.7682401283497942,0.09975296180073484,90.0,0.4,0.05,-2.0,1.3476389387500523
2580,50.01881492314065,0.373355847146582,-0.6692984835104535,-0.20260634667562796,0.036585086200584975,90.0,0.4,0.09,-0.3,1.1717156185536082
2581,50.01824001237091,0.3433295856397749,-0.6587592211696137,-0.4544500655800028,0.06638881596757162,90.0,0.4,0.09,-0.6,1.170451111831941
2582,50.01950663194094,0.3294914044978342,-0.6997130246598612,-1.0399273307519858,0.032372328855068334,90.0,0.4,0.09,-1.2,1.0201340717519354
2583,50.02064959690926,0.32887358966006364,-0.7473596118703854,-1.799226019521716,0.05961672218126124,90.0,0.4,0.09,-2.0,1.236934164079905
